cerrado_ticket,escalado_ticket,canal_reclamacion_regulador,fecha_apertura_reclamacion,fecha_resolucion_reclamacion,tipo_registro,numero_fila_activa,numero_fila_cerradas,producto_aprobado,productos_activos,id
True,False,BM - PAGOS MÓVILES (Apps),2023-09-14,14/09/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,2dce3a55cb14a5016d2b4274c5f440d5c3c6843a0340714ac1fc2d20e7feba72
True,False,BM - PAGOS MÓVILES (Apps),2024-01-09,23/01/2024,Solicitud Email,0.0,0.0,TC Garantizada,TC-CUENTA,8a27b6db6ee090ef17d8ba60dafa072f9df3c568e5b28aa579053801ce9300a3
True,False,EB - E-BANKING,2023-12-22,27/12/2023,Reclamación,0.0,0.0,TC,TC-CUENTA,ae9e97dc5f4701753a93323be2601776b02cf78b66fa45f173bf6b65641af270
True,False,EB - E-BANKING,2023-12-28,05/01/2024,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA,c613cebe60e5d054c3dbf3837a712600114b467677ced4c78dea636f9f7d2e15
True,False,BM - PAGOS MÓVILES (Apps),2024-02-05,22/02/2024,Solicitud Email,0.0,0.0,TC,TC-CUENTA,68298ced64ceedfb157d901cc315721a1ec9f96e494f46dfa6b14bad9a455a62
True,False,EB - E-BANKING,2023-11-29,11/12/2023,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,f3a84bc3b96e3d55670816776e14d9244104e0c1c10157a7f43c35a7c05d9d7f
True,False,BM - PAGOS MÓVILES (Apps),2023-08-17,17/08/2023,Solicitud Email,0.0,0.0,TC,TC-CUENTA,28dcdbe67ce99cbd28023dd1277becfe7c0c8f61a3f77c92033fd3894c32e7ef
True,False,EB - E-BANKING,2023-10-15,20/10/2023,Reclamación,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,3a9555a1fa4c9a1cbda8f45ab68978dcb2d9f11e59dad184e388c5d4982a6ca6
True,False,EB - E-BANKING,2023-11-10,22/11/2023,Solicitud,0.0,7.598206823189727e-05,TC,TC-CUENTA,6bb4ad87aa519512ebfd9d63eaaa8efc91f198729dce851131f8639f16b3fe3c
True,False,EB - E-BANKING,2024-01-27,31/01/2024,Reclamación,9.611687812379854e-05,7.598206823189727e-05,TC Garantizada,TC-CUENTA,0c3d98e34e05d2af80f8d0b512061eda77d67d128dfdbd2e7bf710f765adf1cc
True,False,BM - PAGOS MÓVILES (Apps),2023-11-07,15/11/2023,Solicitud Email,9.611687812379854e-05,0.0001519641364637,TC Garantizada,CUENTA-PRESTAMOS,6e35cb298c610c98f3b676460f9c2435635fb9eb89f9bc48e0154d03fe78cd1b
True,False,BM - PAGOS MÓVILES (Apps),2023-12-20,08/01/2024,Solicitud Email,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,64012a011696f27a56370bb9ba6d8bd68805eebbbaf8e2b29ecc3c6076da6c94
True,False,EB - E-BANKING,2023-11-18,25/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,7d79c0611a9e5a0e8618d80e735127116914fe8d2f4d30d0d291b607ead267ba
True,False,EB - E-BANKING,2023-11-21,23/11/2023,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA-PRESTAMOS,f552d46ccfaca9df6520ebdc80764d57afc117ca8409eb34298b2e1028e4be40
True,False,EB - E-BANKING,2023-11-01,14/11/2023,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA,cfda9dfb2e02e8879e5c03d7937514de4a9b25133c6d67969a6de060b653642a
True,False,EB - E-BANKING,2023-12-24,27/12/2023,Solicitud,0.0,0.0,TC,TC ONBOARDING,89ca37bb3d92ff8e58fed354a05d58338bb28fdb25e6ab149641c7a52d2c2ded
True,False,BM - PAGOS MÓVILES (Apps),2023-09-11,12/09/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,cd7d4dc2acf732507e352a2d018e649d34e7e657172b5f04ce429d08442f13a0
True,False,BM - PAGOS MÓVILES (Apps),2023-09-13,19/09/2023,Solicitud Email,9.611687812379854e-05,7.598206823189727e-05,TC Garantizada,TC-CUENTA,67c822354eff292838b0da9ff7a8134674a0b77a91795c6b43e587ca42cbb449
True,False,BM - PAGOS MÓVILES (Apps),2023-09-15,20/09/2023,Solicitud Email,9.611687812379854e-05,7.598206823189727e-05,TC Garantizada,TC-CUENTA,94886c7697ec98c5fc2890b2454593247371bdc0e392cc7ed60d55685bb539dc
True,False,BM - PAGOS MÓVILES (Apps),2023-10-19,19/10/2023,Solicitud Email,0.0,0.0,TC,TC-CUENTA,497abbbeab2f99eb792c5e9da5a92d7a42c53568f721f3279e6bb4a23a95c813
True,False,BM - PAGOS MÓVILES (Apps),2023-07-10,03/08/2023,Solicitud,0.0005767012687427,0.0,TC Garantizada,TC-CUENTA,98f4259d73e57ea61c8f765f0f26ba56a1374f2d58ba3f70d85c598b4f2764a5
True,False,EB - E-BANKING,2023-08-31,25/09/2023,Reclamación,0.0,0.0,TC,TC-CUENTA,20f87893cdc07fb35f5c97d8badc5714e90ac71e4c50cf4a5c6373eefe61600c
True,False,BM - PAGOS MÓVILES (Apps),2023-11-10,27/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,28c2dc142bd452881d7e79b4869543f8ae1249297b56858adc7191e0b511d9ae
True,False,BM - PAGOS MÓVILES (Apps),2023-10-05,12/10/2023,Solicitud,0.0001922337562475,0.0001519641364637,TC Garantizada,TC-CUENTA,73db00c57ad9108232b135749ecdd3486796fc9251736103d4edaa14c6b3c868
True,False,BM - PAGOS MÓVILES (Apps),2023-11-21,21/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,5e0e5fdb7af209fcc217c9418c4ae6a627df260e8c6512a43d9f356e52170a14
True,False,BM - PAGOS MÓVILES (Apps),2024-02-19,20/02/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,96bd27a5d3fb0ff1c11db72d4a1e1e2cff527882a9f94ab14ad8e252638f381c
True,False,EB - E-BANKING,2023-11-27,27/11/2023,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA,dd431f5db66f9f75979fef045fb06df75db5451bed32f7f38fe14f99c87ae6d7
True,False,BM - PAGOS MÓVILES (Apps),2023-12-29,12/01/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,db4e6045c4963dee478f358f724cd89a5238c7dcaf89b8ff743623197de86279
True,False,BM - PAGOS MÓVILES (Apps),2023-09-04,12/09/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,0aedb62926f31c08ef7dfe921f73ffc105290a85e2dfaf51ab995373e0332640
True,False,EB - E-BANKING,2023-12-25,23/02/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,556ecde5004bb24ace28ddd00774971363ce7eb3d9cc249e629bde7617a503db
True,False,BM - PAGOS MÓVILES (Apps),2023-10-18,01/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,0837b5a5e85f48bcafb891d40effdefe8e53a2bc3c8edf3122d8221d691b1813
True,False,BM - PAGOS MÓVILES (Apps),2023-06-21,19/01/2024,Solicitud,0.0,7.598206823189727e-05,TC,TC-CUENTA,1be25949b181bcac48c60337f221d28bbf1c8fc4e76ceb5bd8227ff7f2a49119
True,False,EB - E-BANKING,2023-11-22,30/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,ce192595a3ad0df83b8cb16a56286e8fe48eeb3dc98e5537a2c6a13bc0cefe37
True,False,BM - PAGOS MÓVILES (Apps),2024-01-05,05/01/2024,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA,865cdb09caa8a910068b4d8d480340c8dd7b1207d8caf5d030eab96b6f726de5
True,False,BM - PAGOS MÓVILES (Apps),2023-11-18,03/01/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,cd4988a0b5239a328d7b9eb78588b2ecb56feb08f803a384e182623ee0a28681
True,False,BM - PAGOS MÓVILES (Apps),2023-10-02,09/10/2023,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA,87c31451c669ecaf67664549c4c5af28da247222300af82341b44584298b37ec
True,False,BM - PAGOS MÓVILES (Apps),2023-11-13,13/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,8ae65227a2a7f7cc647e2a1c3aff31e638dfddecd867c869465121541e7868f4
True,False,BM - PAGOS MÓVILES (Apps),2023-08-18,12/09/2023,Solicitud,0.0003844675124951,0.0,TC Garantizada,TC-CUENTA,62e6a05f53f0963a3349a857aed661759a8806521bf8a03b3a38254a2fcbe164
True,False,EB - E-BANKING,2023-12-20,16/02/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,b408eb353b6eb89c54d5106b4b0e17f1046a137a196fdd7ac23be72b39e93dd2
True,False,BM - PAGOS MÓVILES (Apps),2023-11-02,27/11/2023,Solicitud,9.611687812379854e-05,0.0001519641364637,TC,TC-CUENTA,b938522d5c8108cc7173d5a7b8e830185ad75403ad71ac6d5fafb39bf334316e
True,False,EB - E-BANKING,2023-11-02,03/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,76081d60968baf28ac437f0534998b99df60f3c6bf509b04ad9dcb457250613f
True,False,BM - PAGOS MÓVILES (Apps),2023-10-16,30/10/2023,Solicitud,0.0,0.0,TC,PRESTAMOS,9ad3c8a18078b8425500b15c3a1adf6f7168c9bf3555a282f4f27f09f68613a5
True,False,EB - E-BANKING,2023-10-17,20/10/2023,Reclamación,0.0,0.0001519641364637,TC,TC-CUENTA,580b00b37a39254efa997d283a4a90f70a1c1251757887e783e87322bd0ce657
True,False,PA - PROCESO INTERNO AUTORIZADO,2023-10-31,18/01/2024,Reclamación,0.0,0.0,TC Garantizada,CUENTA,a04a8d8497d2a6b2076f83569f76bd5ee0d1696edb2f579e7586c23fdd3d8e0e
True,False,BM - PAGOS MÓVILES (Apps),2023-11-14,04/12/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,e5c2724496c86c9cb03cfd86a41e0a39f0c67e22348c209b7f914be8c839686e
True,False,BM - PAGOS MÓVILES (Apps),2023-10-31,04/12/2023,Solicitud,0.0,0.0,TC Garantizada,CUENTA-PRESTAMOS,0dffa4c1e5d65fedf2e28cd4cf137d3f9a1c3078bb84fee320e27c420e2fb04f
True,False,EB - E-BANKING,2023-11-17,21/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,147a801386f1f0f34506437088bd051a1fd51f1fc8f8e120bb03ddefb1cad479
True,False,BM - PAGOS MÓVILES (Apps),2023-09-21,18/10/2023,Solicitud,9.611687812379854e-05,0.0,TC,TC-CUENTA,ce3dab9f8ff0c93866250342f03c9106b154d944ad4126346064462437dbe7af
True,False,BM - PAGOS MÓVILES (Apps),2023-10-17,02/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,fc3686c6812a2187bfda09ac5f8e06d5a1a5e67cf69b208f5bd101026676d6ce
