dias_atraso,limite_credito,fecha_activacion,probabilidad_default_TC,tiene_cuenta,sector,ciudad,TC_garantizada,id_ocupacion,id_tipo_ocupacion,nombre_ocupacion,fecha_nacimiento,id
0.0,0.0999819996399928,2023-08-15,,True,,,,,,,1998-07-29,47476202219e120d50adf40a702e9f1d808dc0e6cd256aab6bddfcaed72f22b4
0.0,0.0519810396207924,2023-07-12,0.041180348401454,True,LA ESPERANZA,SANCHEZ RAMIREZ,False,,,,1971-04-24,62ef0c51af36eb884ed03be2fed78fd1b62d0af53d55cf00eae95191098dcc88
0.0,0.0319806396127922,2024-01-04,0.2443757303877654,True,LA VICTORIA,SANTO DOMINGO,False,307.0,6.0,Recepcionista,2000-05-03,efe3e3e85e613a7cb7a7b931d23f8c3f6b1c60167d2ccb3d1b718f4dfec58a8b
0.0,0.0399807996159923,2023-12-10,0.1714100923282224,True,RES.  ROMANA DEL OESTE,LA ROMANA,False,,,,1996-09-28,a4d681efcc0281fe8d157e6fd87bce1024c941516361e9d888b0eff7588e9a2e
0.0,0.009980199603992,2023-09-02,,True,VILLA JUANA,DISTRITO NACIONAL,True,300.0,6.0,Otros,1999-04-07,275be9debc7e79c16dd819d0c6750eaf960b24d49e885bae06dec4a6bd785867
0.0,0.0199803996079921,2023-11-22,0.2113158167333938,True,PANTOJA,SANTO DOMINGO,False,,,,2000-09-27,3a5251d26d90957a0f068d614969ca879f5bc0754037153785d1afa9d4e7da45
0.0,0.0379807596151923,2024-01-27,0.1596625606247717,True,BUENOS AIRES DE HERRERA,SANTO DOMINGO,False,274.0,6.0,Ingeniero,1998-11-10,d58a891701ef48071718b05ccedf7d61b79f8a662bf8b9118d9d22464e8962fe
0.0,0.009980199603992,2024-01-11,0.2391602310633372,True,RESPALDO 27 DE FEBRERO,LA VEGA,False,287.0,6.0,Mensajero,1999-10-05,d4baae2dfce947dd0e38e7d8e6d51b80ce59d2dc6fbff49c6fef972f850f6c02
0.0,0.009980199603992,2023-09-21,,True,PASO HONDO,TENARES,,,,,2000-02-21,cb7a56d1469fb0e1490ee47cb02f6042d83a0c4be7f0eda344d25c37fd13d633
0.0,0.0499809996199924,2023-10-31,0.2390092940227659,True,VIEJO ARROYO HONDO,DISTRITO NACIONAL,False,,,,1999-10-11,49a0682a30673bbb4e082574ee4872f2af231c6cb4c10aba8e24d6d95a34434e
0.0,0.0299805996119922,2023-09-20,0.109940202098368,True,EVARISTO MORALES,DISTRITO NACIONAL,True,,,,2001-01-12,181be3153df6036f6f72a607e8e7d2627b6c7f791b8d2f9c6e761ba131cb8a7a
0.0,0.0559811196223924,2024-01-31,0.0478890862228992,True,BOCA CHICA,SANTO DOMINGO,False,318.0,6.0,Vendedor,1997-08-21,7d2c32ce66e5ae8fd9a45a516e727083fe71f1614ddd517ebab931bf9e559365
0.0,0.1999839996799936,2023-08-08,0.007480684049433,True,ENSANCHE OZAMA,SANTO DOMINGO,False,,,,1994-02-08,14f241665e364704aaf263f408094cd75034e1bc2f53d1f6b13fdddef7e4e99b
0.0,0.1659833196663933,2024-01-10,0.1473067751508215,True,HERRERA,SANTO DOMINGO,False,300.0,6.0,Otros,1969-08-19,1628f8e89661c6c3a42b50e205f07ce02898952f79431892522559b48c68139b
0.0,0.0199803996079921,2023-08-14,,True,EL PICAPIEDRA,VILLA HERMOSA,,,,,1983-08-11,46e8257ff9bd67c52c8a3b1a867d04d582f36a28844c909d1b4dfe25df11fa7e
0.0,0.0199803996079921,2023-12-29,,False,BOCA CHICA,SANTO DOMINGO,True,,,,2000-02-21,03edaf8b4fc7de77f0de1acfbdf661f5d5d2b30c71a8e960aeb7d64d0692e1bb
0.0,0.1039820796415928,2023-11-30,,True,SABANA PERDIDA,SANTO DOMINGO NORTE,,,,,1993-05-03,00a92b68d081cc4d00fce4961ddae0cb979343ae493bf827d16d6d988b411ff2
0.0,0.0199803996079921,2023-12-01,,True,VILLA DUARTE,SANTO DOMINGO ESTE,,,,,1984-03-07,6273c8f9c566dcf1254ad7b086a32c055e7f71b7a0702dc0141f5d745db562f7
0.0,0.0299805996119922,2023-08-15,,True,PALMAR ABAJO,VILLA GONZALEZ,,,,,1988-03-24,581ae1f8a5cdb1c290eef9514ebcada97b32b7bcf8bc3b61d271ffdc39ed3e7f
0.0,0.0279805596111922,2023-12-06,0.9079875569629656,True,SAN CRISTOBAL,PUERTO PLATA,True,,,,1999-05-22,75276f1169114547d174a2db41e038c07d50f4a48ab28d5f29e3df652f2b05f8
0.0,0.0639812796255925,2024-02-08,0.1405411441461654,True,SAN CARLOS,LA ROMANA,False,211.0,2.0,Tecnico,1991-12-02,f7ac97526e26e5f1110dffc099534901b006e6505f9b2368ce18621005cef0c5
0.0,0.1499829996599932,2023-11-27,,True,,Santo Domingo Este,,,,,1955-02-21,f7f5b016aae6777eff6f2d34b1982c7d698f8fc5ab135fe59ebafa6879e0149e
0.0,0.0199803996079921,2023-09-26,,True,LA LLANADA,TAVERA,,,,,1996-07-05,2c9450bd3a55a56ea875fe5732299cf69454207283f0117d25a6e25af79b1e15
0.0,0.1599831996639932,2023-08-10,0.0736221258014095,True,RES.  LAS PRADERAS,MARÍA TRINIDAD SÁNCHEZ,False,227.0,6.0,Analista,1994-08-01,43dc750b9f2037ed4bfcb9ef1759ad47ec3274f6c2d09c0d114fb8282a39c411
0.0,0.009980199603992,2023-09-23,,True,EL CERCADO,CONSTANZA,,,,,1992-09-29,efd560ce3015bdf0809e038607857b5dd7898af0916d17cbcce32cefc4e42e6d
0.0,0.0179803596071921,2023-09-28,0.217333605373983,True,CIENFUEGOS,SANTIAGO,False,,,,1993-07-10,363ce33d09397923e3ed0742c301a74d749dd0ffaa6970cf425eeb4deebaa97b
0.0,0.009980199603992,2023-10-10,0.2765979125999446,True,SABANA PERDIDA,SANTO DOMINGO,True,,,,1969-12-09,efbd63fb3467162fcf3529d79969b3f8125316cfe6a733f05c8f540b8d13d4ca
0.0,0.0199803996079921,2023-09-20,0.1169091278774173,True,SABANA PERDIDA,SANTO DOMINGO,False,,,,1994-04-22,23eaf0db122f9671255cdfaef254b9bbbd450c3e70a61ba8bbabd7f4f8bb61c2
0.0,0.0159803196063921,2023-07-01,0.0624878217048366,True,NIBAJE,SANTIAGO,False,,,,2002-10-03,1dcf6e8ae6fb44e1dfd4ea17d2fc21ccf5bb1c4d18298149a452bb0b0aa0e87e
0.0,0.0479809596191923,2024-02-14,0.0040197640435318,True,LAS CANAS,LA VEGA,False,240.0,6.0,Bombero,1982-04-28,7ec259ba4af9a7a1476529b5abe5eaf69c06e48947b19b1697f1bd39d8fe7492
0.0,0.1199823996479929,2024-01-16,0.1563383689220653,True,SABANA PERDIDA,SANTO DOMINGO,False,225.0,6.0,Almacenista,1990-02-12,5f78249221ff40aecc7e2200df5ef4a33e57556315f36f9c33efc05946404687
0.0,0.0699813996279925,2023-10-27,0.1738502547490141,True,MANOGUAYABO,SANTO DOMINGO,False,,,,1999-08-25,60995282a4b4d24a7bc811f26e5cf69d4f1784c1c30157ac59a53529e6e1c603
0.0,0.009980199603992,2023-10-24,,True,MANOLO TAVAREZ JUSTO,SANTIAGO,True,,,,1992-07-10,5a4077001bd4c99e697b35ddd856cbd8126bfc0ce7c4afb333fff65712fb3f57
0.0,0.009980199603992,2023-09-26,0.2708774658018126,True,SABANA PERDIDA,SANTO DOMINGO,True,275.0,6.0,Inspector,1988-04-13,518b72314ce9edee28bd26b00b5644ded78425d561b178927e3f02f4f659bc31
0.0,0.0399807996159923,2023-11-16,0.2662206500510591,True,LOS MAMEYES,SANTO DOMINGO,False,,,,1989-11-19,b127a3b5f6ffbf68eddb43f0a4b0365b94841962da58afa50f4a8978e8a62233
0.0,0.009980199603992,2023-11-24,,True,SAN LUIS 2,SAN LUIS,,,,,2002-12-23,332aed5841d248086a5d8b67bcaaf06ea2aa0aa71d7821a17de2f54ddf5efab8
0.0,0.011980239604792,2023-07-19,0.1710395550518202,True,VILLA MELLA,SANTO DOMINGO,False,,,,2003-11-25,f9af4b1998d81315b306a74f4468a4a29f95e1a3b2011413f9d0fe709a5a2fbf
0.0,0.0999819996399928,2023-07-30,,True,SANTO DOMINGO,LA VEGA,,,,,1998-09-14,bee2173957b01786a98a31f98d50cb4c94494f561e35cd08f434848aa2551eb6
0.0,0.0199803996079921,2023-11-27,,True,ENSANCHE QUISQUEYA,LA ROMANA,,,,,1990-06-19,84a8ce0d64956e9253463402789ccbaab90952f5084f78ca5458b43ffb54f0bd
0.0,0.011980239604792,2024-01-09,0.1413300560071819,True,SANTO DOMINGO,LA VEGA,False,233.0,6.0,Auxiliar,1999-11-02,c5cd7810c4dcc14328726807309b5f88046ed2d985e4eff4e12c769020592d05
0.0,0.0159803196063921,2024-02-16,0.1135125989005226,True,SAN FELIPE,SANTO DOMINGO,False,287.0,6.0,Mensajero,2000-12-24,d37caec9a7a25a01d11d6995a1bfdead0ba191404de603bbf412cbdd7ec71ee2
0.0,0.1759835196703934,2023-07-28,0.0389986877550677,True,RENACIMIENTO,DISTRITO NACIONAL,False,,,,1994-05-12,3e6043ca33f6064ac468de79617a63f94b80deb224de3448db674b7e4cb7f433
0.0,0.0999819996399928,2023-11-02,0.2757327552167445,True,SANTO DOMINGO,LA VEGA,False,,,,1994-12-04,3fffe157881ff5e2423c720487cb310a1052639dcc66b6a3646e8cb1fd6d94b3
0.0,0.0199803996079921,2024-01-10,,True,VILLA CONSUELO,DISTRITO NACIONAL,True,58.0,3.0,Estudiante,1992-06-17,7cc44bdbf5bfa4e54cd816b1ab65a959d3e0d365772fa14e4f92d65a971f2c6f
