cerrado_ticket,escalado_ticket,canal_reclamacion_regulador,fecha_apertura_reclamacion,fecha_resolucion_reclamacion,tipo_registro,numero_fila_activa,numero_fila_cerradas,producto_aprobado,productos_activos,id
True,False,BM - PAGOS MÓVILES (Apps),2023-09-28,29/09/2023,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA-PRESTAMOS,e43d6c5773e764b90f9cc5136588d6990bd6cbe9200455ce8d42447a8ed61f7d
True,False,EB - E-BANKING,2023-08-07,08/08/2023,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA,1c152aee858420c69b2124cb8bcf72b99128bf65b5a1e9c5a9a56e7d5ffd1274
True,False,BM - PAGOS MÓVILES (Apps),2023-09-27,28/09/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,2ebee3603044ccb3512147e30bd722a8fce53f6983e3dbe208b76479b5f62980
True,False,BM - PAGOS MÓVILES (Apps),2023-11-22,23/11/2023,Solicitud,9.611687812379854e-05,0.0,TC,TC-CUENTA,4e64a7cc2a579e22e462704b7e291495f7faa65664d2201cdb2d1fd201fb3168
True,False,BM - PAGOS MÓVILES (Apps),2023-10-25,27/10/2023,Solicitud Email,0.0,0.0,TC,TC-CUENTA,e474742e9a1a63df09335769ee7016af5a6deabf0868a50f66ac22aa52eb32d9
True,False,EB - E-BANKING,2023-11-14,01/12/2023,Solicitud,0.0,0.0,TC Garantizada,CUENTA,83d831191a38d03f88305dcf29fdf70657e25fe480ae59b0bbb88ed2afc65b36
True,False,EB - E-BANKING,2023-07-05,07/07/2023,Reclamación,0.0,0.0001519641364637,TC Garantizada,TC-CUENTA,31d189434092417bb90d686a66542a77b496c5cdede7dce410c6293c5edfca6d
False,False,BM - PAGOS MÓVILES (Apps),2024-02-05,,Solicitud de funcionalidad,0.9386774317570166,0.9839677836030696,TC,TC-CUENTA,dfda7ee0a4b2d246878deae02f9be57af39cc8cb3c9c32f3af42e242ce1bc360
True,False,BM - PAGOS MÓVILES (Apps),2024-01-06,19/01/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,481e477e452c624f3a0a188750fcca83b6d00c1e9dcbf1a46c291995164deed9
True,False,BM - PAGOS MÓVILES (Apps),2024-01-22,20/02/2024,Solicitud,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,93d2232d1d5298bbb7432f5d7012fba2ce1713f911a8716bdbaa87df0204d499
True,False,BM - PAGOS MÓVILES (Apps),2024-01-05,17/01/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,99d7761c8650ec85e0f6e4c604c4333c00f567d157f3c8e174dc605eb768490d
True,False,EB - E-BANKING,2023-12-27,05/01/2024,Reclamación,0.0,0.0,TC,TC-CUENTA-PRESTAMOS,08b9bcbf5af32053d6428ce586e9f94864ec19a22aa559e2bdbbd7bef1410709
True,False,EB - E-BANKING,2023-11-26,01/12/2023,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA,b16e1e8e642a75f7fd8f8645c6c1f3eb4e1ea0a1de503cd239fc2b59c75ad4e5
True,False,BM - PAGOS MÓVILES (Apps),2023-10-02,03/10/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,bd90481f2a0adc7b04e6676ea5cca8c14ff53f019fafa9e1ce381d56290a4b2a
False,False,BM - PAGOS MÓVILES (Apps),2023-09-23,,Solicitud de funcionalidad,0.6462898885044214,0.9291087303396398,TC Garantizada,TC-CUENTA,03edaf8b4fc7de77f0de1acfbdf661f5d5d2b30c71a8e960aeb7d64d0692e1bb
True,False,BM - PAGOS MÓVILES (Apps),2023-12-19,27/12/2023,Solicitud,0.0,7.598206823189727e-05,TC,CUENTA-PRESTAMOS,d0313c53345293ae996068b6842eb0aab534e4ba2a449c5bbbd55f0b03a2c822
True,False,BM - PAGOS MÓVILES (Apps),2023-08-30,06/09/2023,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA-PRESTAMOS,2c9450bd3a55a56ea875fe5732299cf69454207283f0117d25a6e25af79b1e15
True,False,EB - E-BANKING,2023-07-13,13/07/2023,Solicitud,0.0,7.598206823189727e-05,TC Garantizada,TC-CUENTA,31d189434092417bb90d686a66542a77b496c5cdede7dce410c6293c5edfca6d
True,False,EB - E-BANKING,2024-01-18,12/02/2024,Solicitud,0.0,0.0,TC Garantizada,TC-CUENTA,a01ba5fbc03dab9002a134d54e23e075704bddee183188d6436e17e25c6e22dd
True,False,BM - PAGOS MÓVILES (Apps),2023-10-25,26/10/2023,Solicitud,0.0,7.598206823189727e-05,TC,TC-CUENTA,4e64a7cc2a579e22e462704b7e291495f7faa65664d2201cdb2d1fd201fb3168
True,False,EB - E-BANKING,2024-02-19,19/02/2024,Solicitud,0.0,0.0,TC,TC-CUENTA,9bdfc2a9601a3c526f21901f57177bef92232e7613aefff02cb589c292597352
True,False,BM - PAGOS MÓVILES (Apps),2023-11-28,08/12/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,f3f34d833c64383d88fd66531a3954b9264000d8a724cedf35a496c800edb411
True,False,EB - E-BANKING,2023-06-29,30/06/2023,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA,31d189434092417bb90d686a66542a77b496c5cdede7dce410c6293c5edfca6d
True,False,BM - PAGOS MÓVILES (Apps),2023-09-06,22/11/2023,Solicitud,0.0,0.0,TC,TC-CUENTA,105593ddcc26145395a0d8c912e4808294be9ebf3a34745a39a7ee84a39f56fa
True,False,EB - E-BANKING,2023-12-10,22/12/2023,Reclamación,0.0,0.0,TC Garantizada,TC-CUENTA,ee0c75c944521eeb62c0d040c6440021ed2a68042227536aceb7a80e19970923
